Stage alignment:[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11]].
Total Constraints within Device:69336, Redundant Constraints:1296.
Gurobi Solver Solving...
Result Found Cost: 575.00.
MinExeTime:1682.0.
f_18_10,540.0.
b_18_10,866.0.
w_18_10,1418.0.
f_19_10,578.0.
b_19_10,886.0.
w_19_10,1424.0.
f_20_10,622.0.
b_20_10,930.0.
w_20_10,1430.0.
f_21_10,660.0.
b_21_10,950.0.
w_21_10,1436.0.
f_22_10,672.0.
b_22_10,970.0.
w_22_10,1442.0.
f_23_10,704.0.
b_23_10,1002.0.
w_23_10,1448.0.
f_24_10,906.0.
b_24_10,1040.0.
w_24_10,1454.0.
f_25_10,918.0.
b_25_10,1090.0.
w_25_10,1460.0.
f_26_10,990.0.
b_26_10,1110.0.
w_26_10,1466.0.
f_27_10,1022.0.
b_27_10,1148.0.
w_27_10,1472.0.
f_28_10,1066.0.
b_28_10,1192.0.
w_28_10,1478.0.
f_29_10,1078.0.
b_29_10,1224.0.
w_29_10,1484.0.
f_30_10,1130.0.
b_30_10,1274.0.
w_30_10,1490.0.
